"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"41";"6686";"321";"7048"
"0015334 HOSPITAL SANTA CASA DE CURITIBA";"0";"245";"0";"245"
"0015644 HOSPITAL ERASTO GAERTNER";"0";"17179";"117";"17296"
"0015679 LABORATORIO ANALISA";"1";"4159";"9";"4169"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"248";"11644";"204";"12096"
"0016055 LABORCENTRO";"0";"14656";"19";"14675"
"0016136 PATOLOGISTAS ASSOCIADOS";"1";"22535";"31";"22567"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"0";"9428";"9";"9437"
"0016357 LABORATORIO ANNALAB";"0";"21687";"53";"21740"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"0";"23847";"18";"23865"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"1";"2498";"34";"2533"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"0";"10131";"42";"10173"
"2439093 L B LABORATORIO";"0";"14828";"33";"14861"
"2439425 LABORATORIO SAO FRANCISCO";"7";"10225";"292";"10524"
"2567881 LABORATORIO DR MAURICIO";"1";"8098";"20";"8119"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"29";"36931";"34";"36994"
"2577682 MICROPAR";"0";"13861";"20";"13881"
"2578476 CLINILAB";"0";"10984";"13";"10997"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"1";"4274";"0";"4275"
"2591111 INCELL";"4";"13359";"33";"13396"
"2594021 INSTITUTO INTERNACIONAL DE PATOLOGIA";"0";"14176";"12";"14188"
"2594439 PREVENCAO DIAGNOSE";"1";"5999";"10";"6010"
"2639637 DIAGNOSE";"0";"27335";"32";"27367"
"2639661 CITOPAR";"0";"43270";"105";"43375"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"0";"15165";"67";"15232"
"2729822 LABORMED ROLANDIA";"3";"5050";"6";"5059"
"2731940 CIALAB";"0";"8669";"14";"8683"
"2734230 LABORATORIO SANTA TEREZINHA";"15";"10658";"179";"10852"
"2736543 ANATOM";"0";"12380";"5";"12385"
"2738570 LABORATORIO ANALISA";"0";"242";"0";"242"
"2738589 LABORATORIO APC CASCAVEL";"3";"7159";"8";"7170"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"0";"63";"1";"64"
"2754053 LABORATORIO PASTEUR LTDA";"2";"1842";"4";"1848"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"0";"516";"5";"521"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"7";"17602";"10";"17619"
"2810387 LABORATORIO APC DE TOLEDO";"2";"16104";"17";"16123"
"3087751 LABORATORIO MASTER";"11";"10922";"59";"10992"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"0";"5533";"6";"5539"
"3155986 LABORATORIO SAO MARCOS";"11";"12451";"3";"12465"
"3293203 LABORATORIO SAO CAMILO";"2";"20104";"23";"20129"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"1";"13459";"19";"13479"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"0";"8020";"142";"8162"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"0";"17980";"74";"18054"
"5205905 PREVENCAO E DIAGNOSE";"0";"4566";"2";"4568"
"5662648 LABBOS";"14";"9691";"69";"9774"
"5664675 PHD";"0";"14448";"13";"14461"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"6";"14718";"16";"14740"
"5991080 LABORATORIO VITA LAB";"14";"7963";"94";"8071"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"3";"8112";"19";"8134"
"6439772 LABORATORIO PREVENCAO E DIAGNOSE";"1";"6408";"27";"6436"
"6694349 PREV IN CITO";"25";"7436";"35";"7496"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"0";"7981";"11";"7992"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"3";"4179";"2";"4184"
"6867618 LABCELL";"2";"23400";"120";"23522"
"6922392 CITO";"0";"20724";"81";"20805"
"7113358 LABORATORIO LOGOS";"1";"12102";"22";"12125"
"7256531 CITOMED";"28";"3889";"18";"3935"
"Total";"489";"677571";"2632";"680692"
