"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"2223066 ETHICA";"0";"5622";"9";"5631"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"0";"198";"1";"199"
"2223538 HOSPITAL GERAL";"0";"0";"1";"1"
"2225794 HISTOMED";"0";"3028";"13";"3041"
"2229307 HISTOLAB";"0";"2051";"1";"2052"
"2229730 CDC NH";"0";"11346";"376";"11722"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"0";"1744";"15";"1759"
"2237121 HOSPITAL SANATORIO PARTENON";"0";"146";"0";"146"
"2242001 LABORATORIO PASIN";"2";"3758";"27";"3787"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"0";"4029";"18";"4047"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"0";"2622";"20";"2642"
"2243504 CENTRO DE DIAGNOSTICO NOSSA SENHORA DO ROSARIO";"0";"610";"0";"610"
"2245078 LABORATORIO BIOS SOLEDADE";"21";"5909";"6";"5936"
"2245167 ALPHA LABORATORIOS MARAU";"1";"5383";"19";"5403"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"22";"19741";"106";"19869"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"2";"3421";"0";"3423"
"2249308 MEDICINA DIAGNOSTICA";"7";"10798";"26";"10831"
"2252287 HOSPITAL BRUNO BORN";"0";"183";"1";"184"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"0";"13056";"61";"13117"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"35";"17882";"118";"18035"
"2255634 LABORATORIO SANTA CRUZ";"0";"6183";"10";"6193"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"0";"5245";"0";"5245"
"2256150 LABORATORIO DALLA CORTE";"1";"705";"37";"743"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"0";"243";"2";"245"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"0";"7528";"323";"7851"
"2262843 INSTITUTO DE GINECOLOGIA";"2";"977";"0";"979"
"2266547 LABORATORIO DE PATOLOGIA CIRURGICA CITOPATOLOGICO LTDA";"8";"3464";"16";"3488"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"0";"5437";"60";"5497"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"7058";"8";"7066"
"3771016 DIAGNOSE";"1";"11256";"67";"11324"
"3971945 LABORATORIO DIAGNOSTIKA";"0";"2928";"7";"2935"
"5210917 BIOANALISE WM";"26";"3806";"197";"4029"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"0";"15012";"39";"15051"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"23";"15587";"71";"15681"
"5362423 BIOCITO";"187";"5422";"46";"5655"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"5967";"3";"5970"
"5851009 ICAP";"0";"7288";"6";"7294"
"6123791 MEDICINA DIAGNOSTICA";"1";"10434";"26";"10461"
"6248624 LABORATORIO LABSUL";"128";"11573";"33";"11734"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"7";"6628";"2";"6637"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"33";"21958";"93";"22084"
"6534694 LABORATORIO CITO";"0";"17560";"35";"17595"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"1";"1724";"18";"1743"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"88";"23174";"273";"23535"
"Total";"596";"308684";"2190";"311470"
