"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0019445 CEPON";"0";"32";"1";"33"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"0";"8351";"8";"8359"
"2303892 HOSPITAL SAO FRANCISCO";"0";"6951";"25";"6976"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"0";"12682";"7";"12689"
"2336545 CIPAC";"1";"12637";"24";"12662"
"2379384 LABORATORIO LUZ";"15";"8754";"162";"8931"
"2491400 DIPREVER";"106";"16811";"2";"16919"
"2491478 LABORATORIO SANTE";"0";"1880";"8";"1888"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"0";"58";"0";"58"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"0";"1568";"18";"1586"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"0";"7022";"10";"7032"
"2521849 CAC LAB";"3";"5552";"49";"5604"
"2522276 REDE FEMININA";"0";"5014";"8";"5022"
"2522381 CITOLABOR";"6";"7810";"61";"7877"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"17";"22986";"175";"23178"
"2542986 INSTITUTO DE ANATOMIA PATOLOGICA E CITOLOGIA DR CELIO B RAM";"0";"178";"24";"202"
"2550911 LABORATORIO SAO LUCAS";"0";"15603";"21";"15624"
"2557819 IPA";"2";"42024";"272";"42298"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"0";"2961";"34";"2995"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"0";"11563";"14";"11577"
"2609800 LABORATORIO MC LABOR";"0";"9501";"44";"9545"
"2641208 LAPS";"0";"2836";"15";"2851"
"2642549 ESPACO VITALE VITALAB";"0";"3634";"9";"3643"
"2663627 LABORATORIO CONTINENTE";"2";"8238";"28";"8268"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"3";"4937";"22";"4962"
"2691426 LABORATORIO EXAME";"0";"2";"0";"2"
"2691582 INSTITUTO DE ANATOMIA PATOLOGICA IAP";"1";"1306";"7";"1314"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"0";"10198";"8";"10206"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"41";"17763";"90";"17894"
"2778769 ANATOMIA PATOLOGICA LTDA";"0";"8537";"36";"8573"
"3052850 PHD";"3";"1173";"6";"1182"
"3157245 HOSPITAL UNIVERSITARIO";"1";"1400";"1";"1402"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"0";"1500";"4";"1504"
"3409937 BIOCITO";"30";"12377";"597";"13004"
"3499472 LABORATORIO PREVENT";"0";"6315";"3";"6318"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"0";"3750";"15";"3765"
"4061314 LABORATORIO ANNALAB";"0";"14453";"2";"14455"
"5097983 CITOCENTRO";"2";"12677";"183";"12862"
"5261279 LABORATORIO VITAL";"0";"1167";"1";"1168"
"5370205 LABORATORIO MULHER";"18";"11992";"287";"12297"
"5412153 CITOLAB LABORATORIO DE CITOPATOLOGIA";"0";"1205";"3";"1208"
"5459567 CITOLOGICO";"12";"1778";"6";"1796"
"5672007 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS";"0";"384";"1";"385"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"0";"36762";"95";"36857"
"5935369 DNANALISES";"0";"7540";"7";"7547"
"6124348 LABORATORIO BIOVIDA";"0";"5965";"18";"5983"
"6491847 LABORATORIO SAO JOAO";"0";"502";"1";"503"
"6493823 LABORATORIO CONTINENTE";"0";"7620";"34";"7654"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"8";"8682";"14";"8704"
"7005849 LABORATORIO HOFFMANN";"0";"711";"4";"715"
"7058616 LABORATORIO PRO VIDA";"0";"2882";"38";"2920"
"7115148 HOSPITAL UNIVERSITARIO";"6";"2232";"26";"2264"
"7481829 SERAPIAO E FIGUEIREDO PATOLOGIA DIAGNOSTICA";"0";"3388";"18";"3406"
"Total";"277";"403844";"2546";"406667"
