"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0019445 CEPON";"0";"258";"4";"262"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"0";"8314";"8";"8322"
"2303892 HOSPITAL SAO FRANCISCO";"0";"7179";"31";"7210"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"0";"14679";"7";"14686"
"2336545 CIPAC";"0";"12087";"14";"12101"
"2379384 LABORATORIO LUZ";"10";"9289";"54";"9353"
"2491400 DIPREVER";"145";"15870";"93";"16108"
"2491478 LABORATORIO SANTE";"0";"1776";"10";"1786"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"0";"44";"0";"44"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"0";"1910";"29";"1939"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"1";"5859";"4";"5864"
"2521504 CEDAP";"4";"26316";"137";"26457"
"2521849 CAC LAB";"6";"8820";"49";"8875"
"2522276 REDE FEMININA";"0";"4937";"7";"4944"
"2522381 CITOLABOR";"3";"8801";"63";"8867"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"30";"24166";"194";"24390"
"2550911 LABORATORIO SAO LUCAS";"0";"14849";"8";"14857"
"2557819 IPA";"50";"39804";"465";"40319"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"2";"2684";"30";"2716"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"0";"14272";"55";"14327"
"2609800 LABORATORIO MC LABOR";"1";"10620";"26";"10647"
"2641208 LAPS";"0";"1282";"3";"1285"
"2642549 ESPACO VITALE VITALAB";"0";"3733";"17";"3750"
"2663627 LABORATORIO CONTINENTE";"0";"9334";"40";"9374"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"0";"4699";"6";"4705"
"2691426 LABORATORIO EXAME";"0";"2680";"1";"2681"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"0";"10200";"3";"10203"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"16";"20755";"117";"20888"
"2778769 ANATOMIA PATOLOGICA LTDA";"0";"623";"5";"628"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"0";"159";"0";"159"
"3052850 PHD";"1";"1430";"3";"1434"
"3157245 HOSPITAL UNIVERSITARIO";"0";"1420";"10";"1430"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"1";"1575";"4";"1580"
"3409937 BIOCITO";"13";"7768";"396";"8177"
"3499472 LABORATORIO PREVENT";"0";"4179";"2";"4181"
"3912272 CITOPREVE CONSULTORIA EM PATOLOGIA S S LTDA";"0";"57";"0";"57"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"0";"4268";"22";"4290"
"4061314 LABORATORIO ANNALAB";"0";"17220";"2";"17222"
"5097983 CITOCENTRO";"0";"12764";"150";"12914"
"5261279 LABORATORIO VITAL";"0";"3775";"0";"3775"
"5370205 LABORATORIO MULHER";"2";"9598";"205";"9805"
"5459567 CITOLOGICO";"30";"1170";"1";"1201"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"0";"23232";"102";"23334"
"5935369 DNANALISES";"0";"9393";"2";"9395"
"6124348 LABORATORIO BIOVIDA";"0";"9856";"77";"9933"
"6491847 LABORATORIO SAO JOAO";"0";"2444";"2";"2446"
"6493823 LABORATORIO CONTINENTE";"0";"7099";"27";"7126"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"10";"8830";"19";"8859"
"7005849 LABORATORIO HOFFMANN";"0";"73";"0";"73"
"7058616 LABORATORIO PRO VIDA";"0";"3253";"61";"3314"
"7115148 HOSPITAL UNIVERSITARIO";"14";"2267";"27";"2308"
"7481829 SERAPIAO E FIGUEIREDO PATOLOGIA DIAGNOSTICA";"0";"1063";"7";"1070"
"Total";"339";"418733";"2599";"421671"
