"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"2223066 ETHICA";"0";"5216";"58";"5274"
"2223155 CENTRAL DE EXAMES COMPLEMENTARES";"10";"17790";"85";"17885"
"2225794 HISTOMED";"0";"3442";"3";"3445"
"2227878 LABORATORIO CITOLAB LTDA";"28";"4158";"0";"4186"
"2229730 CDC NH";"0";"12886";"253";"13139"
"2233576 LABORATORIO SANTA LUCIA CACAPAVA DO SUL";"0";"2045";"20";"2065"
"2237121 HOSPITAL SANATORIO PARTENON";"0";"1379";"8";"1387"
"2239302 MOREIRA JUNIOR LABORATORIO DE PAT E CIT EIRELI";"0";"8451";"25";"8476"
"2239450 CPM CENTRO DE PATOLOGIA MEDICA";"0";"12680";"16";"12696"
"2242001 LABORATORIO PASIN";"7";"3458";"24";"3489"
"2242257 LABIVIDA LABORATORIO DE ANALISES CLINICAS";"0";"11738";"31";"11769"
"2243229 LABORATORIO DR TUIUTI LEANDRO GUERRA";"0";"5266";"28";"5294"
"2243385 LABIMED ANALISES CLINICAS PINHEIRO";"0";"2266";"25";"2291"
"2245078 LABORATORIO BIOS SOLEDADE";"0";"6062";"8";"6070"
"2245167 ALPHA LABORATORIOS MARAU";"2";"5456";"11";"5469"
"2245213 INSTITUTO DE PATOLOGIA DE PASSO FUNDO E OU IPPF";"66";"21739";"42";"21847"
"2246988 HOSPITAL SAO VICENTE DE PAULO";"0";"574";"1";"575"
"2249308 MEDICINA DIAGNOSTICA";"0";"11577";"11";"11588"
"2252287 HOSPITAL BRUNO BORN";"0";"231";"0";"231"
"2252953 SERVICO ESPECIALIZADO DE GINECOLOGIA LTDA";"82";"13888";"96";"14066"
"2254433 LABORATORIO DE PATOLOGIA NOROESTE LTDA";"67";"15719";"214";"16000"
"2255634 LABORATORIO SANTA CRUZ";"0";"6263";"30";"6293"
"2255847 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI";"0";"6854";"0";"6854"
"2261057 HOSPITAL DE CARIDADE DE IJUI";"0";"260";"0";"260"
"2261987 SANTA CASA DE CARIDADE DE BAGE";"0";"7273";"608";"7881"
"2262843 INSTITUTO DE GINECOLOGIA";"0";"1";"0";"1"
"2707675 HOSPITAL UNIVERSITARIO DR MIGUEL RIET CORREA JR";"77";"2499";"73";"2649"
"2707969 HOSPITAL BENEFICIENTE SANTA LUZIA";"0";"4634";"38";"4672"
"3488330 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"6133";"2";"6135"
"3508528 HOSPITAL UNIVERSITARIO";"0";"2987";"5";"2992"
"3691314 LABORATORIO DE CITOPATOLOGIA";"0";"3068";"2";"3070"
"3771016 DIAGNOSE";"0";"5580";"15";"5595"
"3883965 CLINICA DEWES";"0";"7201";"7";"7208"
"3971945 LABORATORIO DIAGNOSTIKA";"0";"1209";"0";"1209"
"5210917 BIOANALISE WM";"27";"3598";"107";"3732"
"5258138 EDELWEISS CLINICA DE DIAGNOSTICOS";"0";"27783";"26";"27809"
"5329922 CENTRO DE MEDICINA DIAGNOSTICA";"9";"8433";"36";"8478"
"5362423 BIOCITO";"126";"5174";"31";"5331"
"5753058 LABORATORIO DE PATOLOGIA ROCHA E GONZATTI LTDA";"0";"8560";"3";"8563"
"5851009 ICAP";"0";"12005";"6";"12011"
"5893046 LABORATORIO NUCLEO";"13";"4064";"3";"4080"
"6123791 MEDICINA DIAGNOSTICA";"0";"9059";"2";"9061"
"6248624 LABORATORIO LABSUL";"11";"12353";"10";"12374"
"6258603 LABORATORIO OSVALDO CRUZ BOSSOROCA";"5";"6811";"0";"6816"
"6269680 INSTITUTO DE ANATOMIA PATOLOGIA E CITOPATOLOGIA DKJ";"123";"20852";"4";"20979"
"6534694 LABORATORIO CITO";"0";"17113";"66";"17179"
"6771114 CITOMED LABORATORIO DE CITOLOGIA CLINICA LTDA";"0";"3183";"16";"3199"
"7160518 LABORATORIO DE ANALISES CLINICAS SANTIAGO DO BOQUEIRAO LTDA";"0";"2067";"97";"2164"
"7176090 LAB ANATOP CITOP ZANELLA LTDA";"157";"28362";"804";"29323"
"Total";"810";"389400";"2950";"393160"
