"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0019445 CEPON";"0";"331";"8";"339"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"0";"6977";"7";"6984"
"2303892 HOSPITAL SAO FRANCISCO";"0";"4924";"2";"4926"
"2306077 HE INSTITUTO DE PATOLOGIA LTDA";"0";"8030";"11";"8041"
"2336545 CIPAC";"0";"11815";"8";"11823"
"2379384 LABORATORIO LUZ";"5";"10634";"46";"10685"
"2491400 DIPREVER";"106";"19377";"69";"19552"
"2491478 LABORATORIO SANTE";"1";"1504";"5";"1510"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"0";"35";"0";"35"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"0";"1957";"38";"1995"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"0";"5769";"4";"5773"
"2521504 CEDAP";"0";"32702";"193";"32895"
"2521849 CAC LAB";"4";"10566";"61";"10631"
"2522276 REDE FEMININA";"2";"4876";"11";"4889"
"2522381 CITOLABOR";"5";"8022";"114";"8141"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"33";"23907";"101";"24041"
"2550911 LABORATORIO SAO LUCAS";"0";"15422";"22";"15444"
"2557819 IPA";"67";"45688";"390";"46145"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"2";"3066";"43";"3111"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"4";"15743";"59";"15806"
"2609800 LABORATORIO MC LABOR";"0";"10225";"67";"10292"
"2641208 LAPS";"0";"1916";"6";"1922"
"2642549 ESPACO VITALE VITALAB";"0";"3195";"14";"3209"
"2663627 LABORATORIO CONTINENTE";"0";"6884";"56";"6940"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"0";"5016";"2";"5018"
"2691426 LABORATORIO EXAME";"1";"4291";"1";"4293"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"0";"10145";"9";"10154"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"12";"21885";"97";"21994"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"0";"273";"0";"273"
"3052850 PHD";"0";"1728";"4";"1732"
"3157245 HOSPITAL UNIVERSITARIO";"0";"1355";"4";"1359"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"0";"1641";"5";"1646"
"3409937 BIOCITO";"31";"4494";"157";"4682"
"3499472 LABORATORIO PREVENT";"0";"3250";"1";"3251"
"3912272 CITOPREVE CONSULTORIA EM PATOLOGIA S S LTDA";"0";"34";"0";"34"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"5";"6083";"3";"6091"
"4061314 LABORATORIO ANNALAB";"0";"14708";"4";"14712"
"5097983 CITOCENTRO";"5";"11552";"181";"11738"
"5261279 LABORATORIO VITAL";"0";"1740";"4";"1744"
"5370205 LABORATORIO MULHER";"15";"9643";"163";"9821"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"0";"35208";"163";"35371"
"5935369 DNANALISES";"0";"6952";"0";"6952"
"6124348 LABORATORIO BIOVIDA";"0";"9591";"86";"9677"
"6491847 LABORATORIO SAO JOAO";"0";"2620";"1";"2621"
"6493823 LABORATORIO CONTINENTE";"0";"7382";"45";"7427"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"144";"8886";"5";"9035"
"7005849 LABORATORIO HOFFMANN";"0";"356";"5";"361"
"7058616 LABORATORIO PRO VIDA";"0";"3110";"96";"3206"
"7115148 HOSPITAL UNIVERSITARIO";"10";"2284";"22";"2316"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"0";"1900";"15";"1915"
"Total";"452";"429692";"2408";"432552"
