"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0013234 LABORATORIO DE ANALISES CLINICAS ALMIRANTE TAMANDARE";"10";"10599";"489";"11098"
"0015644 HOSPITAL ERASTO GAERTNER";"0";"23370";"95";"23465"
"0015679 LABORATORIO ANALISA";"8";"6379";"31";"6418"
"0015989 LABORATORIO OSVALDO ZORNIG LTDA";"290";"5677";"181";"6148"
"0016136 PATOLOGISTAS ASSOCIADOS";"10";"25021";"30";"25061"
"0016179 CENTRO DE PATOLOGIA DE CURITIBA";"0";"5972";"4";"5976"
"0016357 LABORATORIO ANNALAB";"0";"22442";"21";"22463"
"0016446 NEOPATH PATOLOGIA DIAGNOSTICA";"0";"23482";"44";"23526"
"0017876 CIS CONIMS";"0";"196";"0";"196"
"2384299 COMPLEXO HOSPITAL DE CLINICAS";"0";"1691";"18";"1709"
"2439069 ZNA ANATOMIA PATOLOGICA E CITOPATOLOGIA";"0";"1397";"6";"1403"
"2439093 L B LABORATORIO";"2";"16741";"33";"16776"
"2439425 LABORATORIO SAO FRANCISCO";"4";"17488";"231";"17723"
"2567881 LABORATORIO DR MAURICIO";"24";"8293";"40";"8357"
"2577623 HCL HOSPITAL DO CANCER DE LONDRINA";"0";"30236";"68";"30304"
"2577682 MICROPAR";"0";"16065";"17";"16082"
"2578476 CLINILAB";"0";"12081";"11";"12092"
"2586533 LEPAC LABORATORIO DE ENSINO E PESQUISA EM ANALISES CLINICA";"1";"3213";"2";"3216"
"2591111 INCELL";"7";"11727";"217";"11951"
"2594439 PREVENCAO DIAGNOSE";"0";"6471";"9";"6480"
"2639637 DIAGNOSE";"0";"30549";"33";"30582"
"2639661 CITOPAR";"114";"51135";"177";"51426"
"2698552 EXAME CENTRO DE DIAGNOSTICOS";"0";"14243";"82";"14325"
"2729822 LABORMED ROLANDIA";"0";"5001";"21";"5022"
"2731940 CIALAB";"0";"8697";"61";"8758"
"2734230 LABORATORIO SANTA TEREZINHA";"36";"29774";"160";"29970"
"2738368 HOSPITAL UNIVERSITARIO DO OESTE DO PARANA";"0";"108";"8";"116"
"2738589 LABORATORIO APC CASCAVEL";"18";"2606";"6";"2630"
"2741989 HOSPITAL DE CARIDADE SAO VICENTE DE PAULO";"0";"198";"0";"198"
"2754053 LABORATORIO PASTEUR LTDA";"4";"2086";"3";"2093"
"2781859 HOSPITAL UNIVERSITARIO REGIONAL DO NORTE DO PARANA";"0";"633";"5";"638"
"2783010 PATOLOGIA MEDICA DIAGNOSTICO PESQUISA E CONSULTORIA";"9";"12823";"12";"12844"
"3087751 LABORATORIO MASTER";"0";"19601";"23";"19624"
"3141195 CPD CITOLOGIA E PATOLOGIA DIAGNOSTICA";"0";"6592";"13";"6605"
"3155986 LABORATORIO SAO MARCOS";"18";"6574";"3";"6595"
"3510247 CITOPAT PRESTADORA SERV MEDICO LAUDOS DE PATOLOGIA S C";"0";"13324";"13";"13337"
"3554309 HISTOCENTER CENTRO DE ANATOMIA PAT E CITOPATOLOGIA";"0";"24950";"23";"24973"
"3823962 PHD PATOLOGIA HUMANA DIAGNOSTICA";"0";"17529";"174";"17703"
"5205905 PREVENCAO E DIAGNOSE";"1";"4827";"30";"4858"
"5662648 LABBOS";"1";"10664";"65";"10730"
"5664675 PHD";"0";"13232";"13";"13245"
"5931622 CENTRO DE DIAGNOSTICO SANTA CLARA";"0";"12853";"4";"12857"
"5991080 LABORATORIO VITA LAB";"46";"18515";"32";"18593"
"6019641 LABORATORIO PREVENCAO E DIAGNOSE";"0";"15146";"47";"15193"
"6694349 PREV IN CITO";"15";"10259";"75";"10349"
"6794858 CENTRO DE APOIO EM PATOLOGIA DE GUARAPUAVA";"0";"10780";"4";"10784"
"6820158 LABORATORIO PASTEUR DE PATOLOGIA";"6";"4535";"2";"4543"
"6867618 LABCELL";"329";"30792";"378";"31499"
"6922392 CITO";"0";"18775";"193";"18968"
"7113358 LABORATORIO LOGOS";"42";"18145";"188";"18375"
"Total";"995";"663487";"3395";"667877"
