"Prestador de serviço";"Rejeitada";"Satisfatória";"Insatisfatória";" Total"
"0019445 CEPON";"0";"261";"7";"268"
"0019887 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS FLORIANOPOLIS";"1";"8433";"29";"8463"
"2303892 HOSPITAL SAO FRANCISCO";"0";"5471";"5";"5476"
"2336545 CIPAC";"1";"9467";"4";"9472"
"2379384 LABORATORIO LUZ";"0";"11509";"37";"11546"
"2491400 DIPREVER";"152";"31388";"598";"32138"
"2491478 LABORATORIO SANTE";"0";"94";"0";"94"
"2491710 HOSPITAL NOSSA SENHORA DA CONCEICAO";"0";"36";"0";"36"
"2513978 LABORATORIO MUNICIPAL DE ITAJAI";"0";"2456";"54";"2510"
"2521377 CAPI CENTRO DE ANATOMIA PATOLOGICA E IMUNOHISTOQUIMICA";"0";"6760";"8";"6768"
"2521504 CEDAP";"0";"37800";"246";"38046"
"2521849 CAC LAB";"11";"11196";"22";"11229"
"2522276 REDE FEMININA";"1";"5211";"17";"5229"
"2522381 CITOLABOR";"0";"9943";"274";"10217"
"2537508 REDE FEMININA DE COMBATE AO CANCER CHAPECO";"28";"22767";"127";"22922"
"2550911 LABORATORIO SAO LUCAS";"0";"17189";"29";"17218"
"2557819 IPA";"78";"51915";"606";"52599"
"2558238 LABORATORIO BIOCLINICO LAGUNA LTDA";"1";"3091";"28";"3120"
"2560747 INSTITUTO DE PATOLOGIA JOACABA";"0";"14699";"121";"14820"
"2609800 LABORATORIO MC LABOR";"0";"7924";"61";"7985"
"2641208 LAPS";"0";"1832";"6";"1838"
"2642549 ESPACO VITALE VITALAB";"0";"1788";"18";"1806"
"2690144 REDE FEMININA DE COMBATE AO CANCER DE GASPAR";"0";"5313";"9";"5322"
"2691426 LABORATORIO EXAME";"2";"1768";"0";"1770"
"2692244 DIAGNOSTICO LABORATORIO DE ANALISES CLINICAS PALHOCA";"0";"641";"3";"644"
"2744961 PHD PATOLOGIA HUMANA DIAGNOSTICA";"5";"22469";"95";"22569"
"2778874 LABORATORIO CLINICO BIOPLANALISE";"0";"186";"0";"186"
"3052850 PHD";"0";"3035";"6";"3041"
"3157245 HOSPITAL UNIVERSITARIO";"0";"1263";"19";"1282"
"3169987 PATHOLOGY DIGNOSTICOS EM MEDICINA LTDA";"2";"1853";"6";"1861"
"3409937 BIOCITO";"0";"2296";"88";"2384"
"3499472 LABORATORIO PREVENT";"0";"3052";"0";"3052"
"3988015 CIP CENTRO INTEGRADO DE PATOLOGIA";"1";"5934";"22";"5957"
"4061314 LABORATORIO ANNALAB";"0";"14584";"5";"14589"
"5097983 CITOCENTRO";"2";"11788";"134";"11924"
"5261279 LABORATORIO VITAL";"0";"1798";"17";"1815"
"5370205 LABORATORIO MULHER";"2";"10395";"216";"10613"
"5925282 LAB PASTEUR UNIDADE DE COLETA JOACABA";"0";"31041";"94";"31135"
"5935369 DNANALISES";"0";"8725";"8";"8733"
"6124348 LABORATORIO BIOVIDA";"0";"8037";"38";"8075"
"6491847 LABORATORIO SAO JOAO";"0";"2775";"3";"2778"
"6493823 LABORATORIO CONTINENTE";"0";"5179";"30";"5209"
"6777716 LCP LABORATORIO DE CITOLOGIA E PATOLOGIA";"5";"7201";"6";"7212"
"7005849 LABORATORIO HOFFMANN";"0";"1150";"7";"1157"
"7058616 LABORATORIO PRO VIDA";"0";"3388";"71";"3459"
"7115148 HOSPITAL UNIVERSITARIO";"4";"1965";"17";"1986"
"9098496 PRIME LABORATORIO CLINICO KOBRASOL";"0";"9726";"67";"9793"
"9208380 PREVENCITO";"0";"10529";"20";"10549"
"9258515 LAB MED";"0";"2342";"52";"2394"
"9447601 LATORMES ANATOMIA PATOLOGICA E CITOLOGICA EIRELI ME";"0";"469";"0";"469"
"Total";"296";"440132";"3330";"443758"
